Gene	CHR	nSNP
FAM189A1	15	11
FAM189A2	9	17
FAM189B	1	21
FAM18A	16	7
FAM18B1	17	1
FAM18B2	17	6
FAM18B2-CDRT4	17	2
FAM190A	4	17
FAM190B	10	21
FAM192A	16	1
FAM193A	4	32
FAM193B	5	10
FAM194A	3	28
FAM194B	13	20
FAM195A	16	2
FAM196A	10	10
FAM196B	5	7
FAM198A	3	13
FAM198B	4	25
FAM19A1	3	1
FAM19A2	12	4
FAM19A3	1	11
FAM19A4	3	8
FAM19A5	22	5
FAM200A	7	6
FAM200B	4	14
FAM204A	10	4
FAM205A	9	10
FAM206A	9	8
FAM207A	21	6
FAM208A	3	29
FAM208B	10	72
FAM209A	20	9
FAM209B	20	6
FAM20A	17	22
FAM20B	1	6
FAM20C	7	11
FAM210A	18	7
FAM210B	20	2
FAM211A	17	8
FAM211B	22	21
FAM212A	3	6
FAM212B	1	9
FAM213A	10	6
FAM213B	1	3
FAM214A	15	29
FAM214B	9	13
FAM216A	12	9
FAM216B	13	6
FAM217A	6	30
FAM217B	20	13
FAM218A	4	6
FAM219A	9	1
FAM219B	15	4
FAM21A	10	1
FAM21C	10	1
FAM220A	7	6
FAM221A	7	18
FAM221B	9	10
FAM222A	12	9
FAM222B	17	10
FAM227A	22	9
FAM227B	15	13
FAM228A	2	8
FAM228B	2	2
FAM22D	10	1
FAM24A	10	2
FAM24B	10	3
FAM26D	6	5
FAM26E	6	10
FAM26F	6	12
FAM27L	17	1
FAM32A	19	1
FAM35A	10	4
FAM3A	X	1
FAM3B	21	10
FAM3C	7	1
FAM3D	3	9
FAM40A	1	9
FAM40B	7	20
FAM43A	3	5
FAM43B	1	1
FAM45A	10	7
FAM46A	6	5
FAM46B	1	8
FAM46C	1	7
FAM46D	X	7
FAM47A	X	10
FAM47B	X	9
FAM47C	X	17
FAM47E	4	11
FAM48A	13	15
FAM49A	2	1
FAM49B	8	1
FAM50A	X	1
FAM50B	6	3
FAM53A	4	16
FAM53B	10	12
FAM53C	5	5
FAM54A	6	19
FAM54B	1	13
FAM57A	17	4
FAM57B	16	1
FAM58A	X	1
FAM59A	18	24
FAM59B	2	3
FAM5B	1	19
FAM5C	1	8
FAM60A	12	2
FAM63A	1	17
FAM63B	15	18
FAM64A	17	3
FAM65A	16	19
FAM65B	6	26
FAM65C	20	41
FAM69A	1	3
FAM69B	9	13
FAM69C	18	9
FAM70A	X	7
FAM70B	13	19
FAM71A	1	24
FAM71B	5	26
FAM71C	12	11
FAM71D	14	4
FAM71E1	19	6
FAM71E2	19	30
FAM71F1	7	11
FAM71F2	7	11
FAM73A	1	14
FAM73B	9	11
FAM75A6	9	1
FAM75D1	9	23
FAM75E1	9	59
FAM76A	1	5
FAM76B	11	5
FAM78A	9	2
FAM78B	1	6
FAM81A	15	5
FAM81B	5	27
FAM82A1	2	35
FAM82A2	15	7
FAM82B	8	9
FAM83A	8	15
FAM83B	6	24
FAM83C	20	27
FAM83D	20	12
FAM83E	19	13
FAM83F	22	20
FAM83G	17	18
FAM83H	8	17
FAM84A	2	3
FAM84B	8	2
FAM86A	16	1
FAM86C1	11	4
FAM89A	1	5
FAM89B	11	1
FAM8A1	6	2
FAM90A1	12	3
FAM90A27P	19	1
FAM91A1	8	8
FAM92A1	8	5
FAM92B	16	16
FAM96A	15	3
FAM98A	2	10
FAM98B	15	5
FAM98C	19	15
FAM9A	X	6
FAM9B	X	5
FAM9C	X	8
FAN1	15	39
FANCA	16	69
FANCB	X	12
FANCC	9	25
FANCD2	3	37
FANCE	6	16
FANCF	11	12
FANCG	9	14
FANCI	15	51
FANCL	2	10
FANCM	14	69
FANK1	10	21
FAP	2	21
FAR1	11	3
FAR2	12	12
FARP1	13	39
FARP2	2	43
FARS2	6	10
FARSA	19	17
FARSB	2	8
FAS	10	9
FASLG	1	3
FASN	17	58
FASTK	7	5
FASTKD1	2	30
FASTKD2	2	18
FASTKD3	5	19
FASTKD5	20	23
FAT1	4	180
FAT2	5	139
FAT3	11	93
FAT4	4	113
FATE1	X	7
FAU	11	1
FAXC	6	5
FBF1	17	39
FBL	19	6
FBLIM1	1	14
FBLN1	22	22
FBLN2	3	36
FBLN5	14	8
FBLN7	2	16
FBN1	15	1095
FBN2	5	1086
FBN3	19	148
FBP1	9	10
FBP2	9	11
FBRS	16	3
FBRSL1	12	9
FBXL12	19	12
FBXL13	7	29
FBXL14	12	5
FBXL17	5	4
FBXL18	7	10
FBXL19	16	4
FBXL2	3	6
FBXL20	17	4
FBXL21	5	20
FBXL22	15	8
FBXL3	13	3
FBXL4	6	18
FBXL5	4	8
FBXL6	8	13
FBXL7	5	5
FBXL8	16	4
FBXO10	9	22
FBXO11	2	4
FBXO15	18	12
FBXO16	8	10
FBXO17	19	20
FBXO18	10	13
FBXO2	1	3
FBXO21	12	3
FBXO22	15	8
FBXO24	7	16
FBXO25	8	6
FBXO27	19	11
FBXO28	1	4
FBXO3	11	10
FBXO30	6	17
FBXO31	16	5
FBXO32	8	5
FBXO33	14	11
FBXO34	14	14
FBXO36	2	7
FBXO38	5	22
FBXO39	17	21
FBXO4	5	5
FBXO40	3	32
FBXO41	2	16
FBXO42	1	10
FBXO43	8	10
FBXO44	1	13
FBXO45	3	1
FBXO46	19	3
FBXO47	17	17
FBXO48	2	2
FBXO5	6	8
FBXO6	1	8
FBXO7	22	15
FBXO8	4	4
FBXO9	6	1
FBXW10	17	5
FBXW11	5	2
FBXW12	3	19
FBXW2	9	4
FBXW4	10	8
FBXW5	9	29
FBXW7	4	10
FBXW8	12	22
FBXW9	19	13
FCAMR	1	23
FCAR	19	11
FCER1A	1	12
FCER1G	1	3
FCER2	19	16
FCF1	14	4
FCGBP	19	76
FCGR2A	1	7
FCGR2B	1	3
FCGR3A	1	3
FCGR3B	1	2
FCGRT	19	11
FCHO1	19	27
FCHO2	5	11
FCHSD1	5	29
FCHSD2	11	8
FCN1	9	12
FCN2	9	17
FCN3	1	13
FCRL1	1	24
FCRL2	1	18
FCRL3	1	43
FCRL4	1	30
FCRL5	1	31
FCRL6	1	22
FCRLA	1	19
FCRLB	1	17
FDCSP	4	3
FDFT1	8	11
FDPS	1	10
FDX1L	19	4
FDXACB1	11	23
FDXR	17	19
FECH	18	13
FEM1A	19	1
FEM1B	15	5
FEM1C	5	5
FEN1	11	6
FER	5	17
FER1L5	2	4
FER1L6	8	85
FERD3L	7	2
FERMT1	20	23
FERMT2	14	7
FERMT3	11	17
FES	15	18
FETUB	3	17
FEZ1	11	7
FEZ2	2	8
FEZF1	7	3
FEZF2	3	4
FFAR1	19	6
FFAR2	19	10
FFAR3	19	1
FGA	4	13
FGB	4	16
FGD1	X	7
FGD2	6	24
FGD3	9	24
FGD4	12	13
FGD5	3	33
FGD5-AS1	3	1
FGD6	12	28
FGF1	5	3
FGF10	5	2
FGF11	17	2
FGF13	X	1
FGF14	13	4
FGF18	5	1
FGF19	11	6
FGF2	4	4
FGF20	8	2
FGF21	19	7
FGF22	19	5
FGF23	12	1
FGF3	11	2
FGF4	11	3
FGF5	4	13
FGF6	12	12
FGF8	10	3
FGF9	13	2
FGFBP1	4	12
FGFBP2	4	10
FGFBP3	10	6
FGFR1	8	11
FGFR1OP	6	17
FGFR1OP2	12	2
FGFR2	10	10
FGFR3	4	13
FGFR4	5	21
FGFRL1	4	16
FGG	4	15
FGGY	1	30
FGL1	8	32
FGL2	7	6
FGR	1	5
FH	1	4
FHAD1	1	34
FHDC1	4	44
FHIT	3	7
FHL1	X	3
FHL2	2	8
FHL3	1	11
FHL5	6	10
FHOD1	16	25
FHOD3	18	34
FIBCD1	9	9
FIBIN	11	7
FIBP	11	7
FICD	12	15
FIG4	6	25
FIGF	X	9
FIGLA	2	8
FIGN	2	11
FIGNL1	7	24
FILIP1	6	30
FILIP1L	3	28
FIP1L1	4	11
FIS1	7	3
FITM1	14	9
FITM2	20	7
FIZ1	19	1
FJX1	11	4
FKBP10	17	13
FKBP11	12	4
FKBP14	7	2
FKBP15	9	32
FKBP2	11	4
FKBP3	14	5
FKBP4	12	3
FKBP5	6	9
FKBP6	7	10
FKBP7	2	9
FKBP8	19	5
FKBP9	7	3
FKBPL	6	5
FKRP	19	5
FKTN	9	14
FLAD1	1	20
FLCN	17	16
FLG	1	118
FLG2	1	80
FLI1	11	6
FLII	17	30
FLNA	X	22
FLNB	3	80
FLNC	7	47
FLOT1	6	7
FLOT2	17	8
FLRT1	11	15
FLRT2	14	16
FLRT3	20	11
FLT1	13	24
FLT3	13	26
FLT3LG	19	3
FLT4	5	37
FLVCR1	1	11
FLVCR2	14	10
FLYWCH1	16	16
FLYWCH2	16	1
FMN1	15	58
FMN2	1	19
FMNL1	17	10
FMNL2	2	19
FMNL3	12	14
FMO1	1	20
FMO2	1	28
FMO3	1	29
FMO4	1	23
FMO5	1	21
FMO6P	1	5
FMO9P	1	1
FMOD	1	12
FMR1	X	6
FMR1NB	X	2
FN1	2	60
FN3K	17	7
FN3KRP	17	15
FNBP1	9	8
FNBP1L	1	7
FNBP4	11	18
FNDC1	6	59
FNDC3A	13	14
FNDC3B	3	27
FNDC4	2	4
FNDC5	1	6
FNDC7	1	30
FNDC8	17	12
FNDC9	5	15
FNIP1	5	47
FNIP2	4	28
FNTA	8	4
FNTB	14	7
FOCAD	9	71
FOLH1	11	9
FOLH1B	11	1
FOLR1	11	6
FOLR2	11	10
FOLR3	11	3
FOLR4	11	9
FOPNL	16	6
FOS	14	4
FOSB	19	5
FOSL1	11	1
FOSL2	2	4
FOXA1	14	7
FOXA2	20	4
FOXA3	19	9
FOXB1	15	4
FOXB2	9	4
FOXC1	6	1
FOXC2	16	4
FOXD1	5	1
FOXD2	1	1
FOXD3	1	1
FOXD4L1	2	1
FOXE1	9	1
FOXF1	16	5
FOXF2	6	3
FOXH1	8	7
FOXI1	5	9
FOXI2	10	2
FOXJ1	17	5
FOXJ2	12	6
FOXJ3	1	13
FOXK1	7	6
FOXK2	17	22
FOXL1	16	3
FOXM1	12	28
FOXN1	17	20
FOXN2	2	2
FOXN3	14	12
FOXN4	12	9
FOXO1	13	9
FOXO4	X	3
FOXP1	3	8
FOXP2	7	9
FOXP3	X	5
FOXP4	6	11
FOXQ1	6	1
FOXR1	11	7
FOXR2	X	4
FOXRED1	11	19
FOXRED2	22	23
FOXS1	20	13
FPGS	9	9
FPGT	1	16
FPGT-TNNI3K	1	49
FPR1	19	13
FPR2	19	6
FPR3	19	7
FRA10AC1	10	15
FRAS1	4	149
FRAT1	10	1
FREM1	9	74
FREM2	13	92
FREM3	4	34
FRG1	4	6
FRG2B	10	1
FRK	6	25
FRMD1	6	36
FRMD3	9	15
FRMD4A	10	13
FRMD4B	3	46
FRMD5	15	7
FRMD6	14	15
FRMD7	X	11
FRMD8	11	5
FRMPD1	9	51
FRMPD2	10	41
FRMPD3	X	1
FRMPD4	X	15
FRRS1	1	22
FRRS1L	9	6
FRS2	12	10
FRS3	6	20
FRY	13	46
FRY-AS1	13	1
FRYL	4	53
FRZB	2	11
FSCB	14	34
FSCN1	7	7
FSCN2	17	15
FSCN3	7	29
FSD1	19	8
FSD1L	9	9
FSD2	15	27
FSHB	11	6
FSHR	2	19
FSIP1	15	20
FSIP2	2	88
FST	5	3
FSTL1	3	7
FSTL4	5	31
FSTL5	4	22
FTCD	21	21
FTHL17	X	8
FTL	19	2
FTMT	5	7
FTO	16	14
FTSJ1	X	4
FTSJ2	7	8
FTSJ3	17	32
FTSJD1	16	23
FTSJD2	6	9
FUBP1	1	4
FUBP3	9	9
FUCA1	1	11
FUCA2	6	15
FUK	16	36
FUNDC1	X	1
FUOM	10	3
FURIN	15	21
FUS	16	7
FUT1	19	7
FUT10	8	21
FUT11	10	9
FUT2	19	17
FUT3	19	10
FUT4	11	6
FUT5	19	9
FUT6	19	8
FUT7	9	12
FUT8	14	9
FUT9	6	2
FUZ	19	8
FXC1	11	4
FXN	9	8
FXR1	3	10
FXR2	17	7
FXYD1	19	3
FXYD2	11	6
FXYD3	19	4
FXYD4	10	2
FXYD5	19	11
FXYD6	11	4
FXYD6-FXYD2	11	6
FXYD7	19	2
FYB	5	22
FYCO1	3	68
FYN	6	5
FYTTD1	3	3
FZD1	7	3
FZD10	12	4
FZD2	17	2
FZD3	8	7
FZD4	11	10
FZD5	2	4
FZD6	8	12
FZD7	2	3
FZD8	10	1
FZD9	7	4
FZR1	19	6
G0S2	1	4
G2E3	14	12
G3BP1	5	4
G3BP2	4	4
G6PC	17	13
G6PC2	2	20
G6PC3	17	11
G6PD	X	15
GAA	17	34
GAB1	4	6
GAB2	11	19
GAB3	X	5
GAB4	22	22
GABARAPL1	12	1
GABARAPL2	16	2
GABBR1	6	6
GABBR2	9	9
GABPA	21	3
GABPB1	15	2
GABPB2	1	14
GABRA1	5	2
GABRA2	4	2
GABRA3	X	2
GABRA4	4	7
GABRA5	15	5
GABRA6	5	12
GABRB1	4	4
GABRB2	5	4
GABRB3	15	3
GABRD	1	6
GABRE	X	21
GABRG1	4	8
GABRG2	5	2
GABRG3	15	7
GABRP	5	18
GABRQ	X	4
GABRR1	6	17
GABRR2	6	23
GABRR3	3	13
GAD1	2	12
GAD2	10	14
GADD45B	19	2
GADD45G	9	1
GADD45GIP1	19	6
GADL1	3	17
GAK	4	49
GAL	11	5
GAL3ST1	22	13
GAL3ST2	2	11
GAL3ST3	11	7
GAL3ST4	7	23
GALC	14	35
GALE	1	7
GALK1	17	2
GALK2	15	12
GALM	2	14
GALNS	16	23
GALNT1	18	5
GALNT10	5	17
GALNT11	7	27
GALNT12	9	13
GALNT13	2	9
GALNT14	2	19
GALNT2	1	12
GALNT3	2	20
GALNT4	12	14
GALNT5	2	28
GALNT6	12	17
GALNT7	4	13
GALNT8	12	32
GALNT9	12	6
GALNTL1	14	18
GALNTL2	3	18
GALNTL4	11	10
GALNTL5	7	26
GALNTL6	4	7
GALP	19	4
GALR1	18	11
GALR2	17	12
GALR3	22	6
GALT	9	12
GAMT	19	9
GAN	16	13
GANAB	11	24
GANC	15	52
GAP43	3	4
GAPDH	12	1
GAPDHS	19	10
GAPT	5	7
GAPVD1	9	23
GAR1	4	3
GARNL3	9	19
GARS	7	10
GART	21	28
GAS1	9	3
GAS2	11	6
GAS2L1	22	11
GAS2L2	17	37
GAS2L3	12	21
GAS6	13	26
GAS7	17	7
GAS8	16	28
GAST	17	3
GATA1	X	7
GATA2	3	9
GATA3	10	1
GATA4	8	8
GATA5	20	5
GATA6	18	3
GATAD1	7	4
GATAD2A	19	11
GATAD2B	1	7
GATC	12	3
GATM	15	6
GATS	7	1
GATSL3	22	5
GBA	1	6
GBA2	9	25
GBA3	4	16
GBAS	7	6
GBE1	3	20
GBF1	10	25
GBGT1	9	28
GBP1	1	19
GBP2	1	21
GBP3	1	28
GBP4	1	20
GBP5	1	26
GBP6	1	30
GBP7	1	24
GBX1	7	6
GBX2	2	1
GC	4	20
GCA	2	7
GCAT	22	14
GCC1	7	18
GCC2	2	1
GCDH	19	13
GCFC1	21	4
GCFC2	2	29
GCG	2	6
GCGR	17	5
GCH1	14	9
GCHFR	15	1
GCK	7	5
GCKR	2	191
GCLC	6	10
GCLM	1	6
GCM1	6	7
GCM2	6	16
GCN1L1	12	48
GCNT1	9	13
GCNT2	6	31
GCNT3	15	19
GCNT4	5	12
GCNT7	20	5
GCOM1	15	21
GCSAM	3	9
GCSAML	1	8
GCSH	16	1
GDA	9	11
GDAP1	8	11
GDAP1L1	20	8
GDAP2	1	15
GDE1	16	7
GDF1	19	1
GDF10	10	7
GDF11	12	2
GDF15	19	5
GDF2	10	9
GDF3	12	7
GDF5	20	14
GDF5OS	20	3
GDF6	8	7
GDF7	2	5
GDF9	5	18
GDI2	10	2
GDNF	5	5
GDPD1	17	3
GDPD2	X	7
GDPD3	16	12
GDPD4	11	24
GDPD5	11	19
GDPGP1	15	14
GEM	8	10
GEMIN2	14	4
GEMIN4	17	45
GEMIN5	5	43
GEMIN6	2	4
GEMIN7	19	5
GEMIN8	X	2
GEN1	2	32
GET4	7	4
GFAP	17	12
GFER	16	7
GFI1	1	3
GFI1B	9	11
GFM1	3	26
GFM2	5	33
GFOD1	6	1
GFOD2	16	8
GFPT1	2	7
GFPT2	5	12
GFRA1	10	12
GFRA2	8	9
GFRA3	5	8
GFRA4	20	4
GFRAL	6	22
GGA1	22	14
GGA2	16	16
GGA3	17	24
GGCT	7	3
GGCX	2	21
GGH	8	5
GGN	19	11
GGNBP2	17	4
GGPS1	1	4
GGT1	22	3
GGT5	22	10
GGT6	17	8
GGT7	20	7
GGTLC1	20	3
GGTLC2	22	1
GH1	17	5
GH2	17	6
GHDC	17	19
GHITM	10	6
GHR	5	27
GHRH	20	2
GHRHR	7	19
GHRL	3	5
GHSR	3	9
GIF	11	18
GIGYF1	7	19
GIGYF2	2	23
GIMAP1	7	5
GIMAP2	7	13
GIMAP4	7	8
GIMAP5	7	8
GIMAP6	7	17
GIMAP7	7	7
GIMAP8	7	21
GIN1	5	10
GINM1	6	10
GINS1	20	5
GINS2	16	10
GINS3	16	5
GINS4	8	5
GIP	17	5
GIPC1	19	3
GIPC2	1	9
GIPC3	19	4
GIPR	19	22
GIT1	17	4
GIT2	12	9
GJA1	6	2
GJA10	6	21
GJA3	13	3
GJA4	1	5
GJA5	1	6
GJA8	1	11
GJA9	1	15
GJB1	X	3
GJB2	13	29
GJB3	1	17
GJB4	1	20
GJB5	1	10
GJB6	13	10
GJB7	6	14
GJC1	17	2
GJC3	7	8
GJD2	15	2
GJD3	17	3
GJD4	10	8
GK	X	1
GK2	4	22
GK5	3	2
GKAP1	9	4
GKN1	2	3
GKN2	2	10
GLA	X	165
GLB1	3	24
GLB1L	2	22
GLB1L2	11	20
GLB1L3	11	21
GLCCI1	7	5
GLCE	15	13
GLDC	9	20
GLDN	15	20
GLE1	9	21
GLG1	16	7
GLI1	12	24
GLI2	2	40
GLI3	7	27
GLI4	8	6
GLIPR1	12	9
GLIPR1L1	12	14
GLIPR1L2	12	9
GLIPR2	9	7
GLIS1	1	19
GLIS2	16	11
GLIS3	9	44
GLMN	1	18
GLO1	6	6
GLOD4	17	9
GLOD5	X	6
GLP1R	6	17
GLP2R	17	26
GLRA1	5	15
GLRA2	X	2
GLRA3	4	11
GLRA4	X	16
GLRB	4	5
GLRX	5	3
GLRX2	1	7
GLRX3	10	5
GLRX5	14	1
GLS	2	4
GLS2	12	8
GLT1D1	12	10
GLT25D1	19	16
GLT25D2	1	30
GLT6D1	9	19
GLT8D1	3	6
GLT8D2	12	16
GLTP	12	5
GLTPD1	1	10
GLTPD2	17	4
GLTSCR1	19	4
GLTSCR2	19	9
GLUD2	X	6
GLUL	1	3
GLYAT	11	15
GLYATL1	11	15
GLYATL2	11	12
GLYATL3	6	10
GLYCTK	3	17
GLYR1	16	4
GM2A	5	9
GMCL1	2	10
GMDS	6	1
GMEB1	1	5
GMEB2	20	6
GMFB	14	1
GMFG	19	5
GMIP	19	33
GML	8	10
GMNC	3	5
GMNN	6	8
GMPPA	2	9
GMPPB	3	10
GMPR	6	13
GMPR2	14	11
GMPS	3	7
GNA11	19	2
GNA12	7	5
GNA13	17	6
GNA14	9	14
GNA15	19	9
GNAI1	7	2
GNAI2	3	4
GNAI3	1	8
GNAL	18	1
GNAO1	16	5
GNAS	20	22
GNAT1	3	7
GNAT2	1	10
GNAT3	7	9
GNAZ	22	3
GNB1	1	1
GNB1L	22	16
GNB2	7	2
GNB2L1	5	1
GNB3	12	10
GNB4	3	5
GNB5	15	6
GNE	9	15
GNG11	7	2
GNG12	1	2
GNG13	16	4
GNG2	14	1
GNG4	1	1
GNG5	1	1
GNG8	19	1
GNGT1	7	3
GNGT2	17	2
GNL1	6	11
GNL2	1	25
GNL3	3	25
GNL3L	X	9
GNLY	2	11
GNMT	6	6
GNPAT	1	14
GNPDA1	5	3
GNPDA2	4	3
GNPNAT1	14	1
GNPTAB	12	33
GNPTG	16	11
GNRH1	8	4
GNRH2	20	4
GNRHR	4	15
GNS	12	6
GOLGA1	9	25
GOLGA2	9	12
GOLGA3	12	57
GOLGA4	3	67
GOLGA5	14	20
GOLGA7	8	1
GOLGA7B	10	2
GOLGB1	3	76
GOLIM4	3	25
GOLM1	9	17
GOLPH3	5	8
GOLPH3L	1	7
GOLT1A	1	5
GOLT1B	12	2
GON4L	1	27
GOPC	6	8
GORAB	1	10
GORASP1	3	16
GORASP2	2	5
GOSR1	17	3
GOSR2	17	9
GOT1	10	13
GOT1L1	8	19
GOT2	16	15
GP1BA	17	16
GP2	16	19
GP5	3	7
GP6	19	21
GP9	3	4
GPA33	1	13
GPAA1	8	14
GPAM	10	18
GPANK1	6	5
GPAT2	2	4
GPATCH1	19	36
GPATCH2	1	18
GPATCH3	1	20
GPATCH4	1	11
GPATCH8	17	25
GPBAR1	2	6
GPBP1	5	11
GPBP1L1	1	13
GPC1	2	22
GPC2	7	12
GPC3	X	9
GPC4	X	5
GPC5	13	16
GPC6	13	12
GPCPD1	20	10
GPD1	12	16
GPD1L	3	8
GPD2	2	20
GPER	7	9
GPHA2	11	6
GPHB5	14	1
GPHN	14	8
GPI	19	13
GPIHBP1	8	6
GPKOW	X	8
GPLD1	6	51
GPM6A	4	1
GPM6B	X	2
GPN1	2	9
GPN2	1	9
GPN3	12	6
GPNMB	7	31
GPR1	2	17
GPR101	X	12
GPR107	9	12
GPR108	19	17
GPR110	6	38
GPR111	6	24
GPR112	X	58
GPR113	2	46
GPR114	16	21
GPR115	6	40
GPR116	6	32
GPR119	X	3
GPR12	13	4
GPR123	10	4
GPR124	8	33
GPR125	4	41
GPR126	6	30
GPR128	3	35
GPR132	14	10
GPR133	12	37
GPR135	14	8
GPR137	11	10
GPR137B	1	11
GPR137C	14	8
GPR139	16	10
GPR141	7	6
GPR142	17	32
GPR143	X	9
GPR144	9	27
GPR146	7	14
GPR148	2	17
GPR149	3	13
GPR15	3	12
GPR150	5	3
GPR151	5	21
GPR152	11	18
GPR153	1	9
GPR155	2	15
GPR156	3	31
GPR157	1	8
GPR158	10	37
GPR160	3	8
GPR161	1	8
GPR162	12	19
GPR17	2	24
GPR171	3	4
GPR173	X	4
GPR174	X	3
GPR176	15	5
GPR179	17	84
GPR18	13	8
GPR180	13	7
GPR182	12	10
GPR183	13	9
GPR19	12	7
GPR20	8	17
GPR21	9	8
GPR22	7	2
GPR25	1	3
GPR26	10	3
GPR27	3	3
GPR3	1	4
GPR31	6	12
GPR32	19	8
GPR33	14	2
GPR34	X	3
GPR35	2	18
GPR37	7	9
GPR37L1	1	9
GPR39	2	14
GPR45	2	7
GPR50	X	12
GPR52	1	4
GPR55	2	8
GPR56	16	12
GPR6	6	2
GPR61	1	4
GPR62	3	3
GPR63	6	7
GPR64	X	19
GPR65	14	5
GPR68	14	6
GPR75	2	16
GPR77	19	12
GPR78	4	12
GPR82	X	4
GPR83	11	14
GPR84	12	20
GPR87	3	11
GPR88	1	1
GPR89A	1	4
GPR97	16	15
GPR98	5	212
GPRASP1	X	26
GPRASP2	X	12
GPRC5A	12	23
GPRC5B	16	9
GPRC5C	17	17
GPRC5D	12	12
GPRC6A	6	41
GPRIN1	5	26
GPRIN2	10	21
GPRIN3	4	44
GPS1	17	3
GPS2	17	2
GPSM1	9	15
GPSM2	1	29
GPSM3	6	1
GPT	8	23
GPT2	16	9
GPX1	3	1
GPX2	14	6
GPX3	5	6
GPX4	19	7
GPX5	6	10
GPX6	6	18
GPX7	1	3
GPX8	5	7
GRAMD1A	19	13
GRAMD1B	11	11
GRAMD1C	3	23
GRAMD2	15	13
GRAMD3	5	20
GRAMD4	22	4
GRAP2	22	10
GRASP	12	3
GRB10	7	14
GRB14	2	15
GRB7	17	17
GREB1	2	55
GREB1L	18	9
GREM1	15	2
GREM2	1	2
GRHL1	2	14
GRHL2	8	10
GRHL3	1	21
GRHPR	9	11
GRIA1	5	7
GRIA2	4	9
GRIA3	X	5
GRIA4	11	5
GRID1	10	20
GRID2	4	12
GRID2IP	7	9
GRIK1	21	20
GRIK2	6	11
GRIK3	1	10
GRIK4	11	25
GRIK5	19	9
GRIN1	9	3
GRIN2A	16	20
GRIN2B	12	15
GRIN2C	17	24
GRIN3A	9	36
GRIN3B	19	27
GRINA	8	3
GRIP1	12	30
GRIP2	3	2
GRIPAP1	X	4
GRK1	13	17
GRK4	4	29
GRK5	10	13
GRK6	5	14
GRK7	3	20
GRM1	6	20
GRM2	3	19
GRM3	7	5
GRM4	6	10
GRM5	11	7
GRM6	5	47
GRM7	3	12
GRM8	7	19
GRN	17	12
GRP	18	4
GRPEL1	4	6
GRPEL2	5	6
GRPR	X	4
GRSF1	4	8
GRTP1	13	16
GRWD1	19	15
GRXCR1	4	13
GRXCR2	5	11
GS1-211B7.1	8	1
GS1-259H13.2	7	1
GSC	14	1
GSC2	22	2
GSDMA	17	13
GSDMB	17	22
GSDMC	8	32
GSDMD	8	19
GSG1	12	13
GSG1L	16	1
GSG2	17	25
GSK3A	19	3
GSK3B	3	4
GSN	9	29
GSPT1	16	3
GSPT2	X	3
GSR	8	20
GSS	20	16
GSTA1	6	5
GSTA2	6	10
GSTA3	6	12
GSTA4	6	3
GSTA5	6	5
GSTCD	4	8
GSTK1	7	12
GSTM1	1	2
GSTM2	1	6
GSTM3	1	10
GSTM4	1	8
GSTM5	1	9
GSTO1	10	12
GSTO2	10	14
GSTP1	11	10
GSTT1	22	2
GSTT2B	22	1
GSTZ1	14	14
GSX1	13	2
GSX2	4	2
GTDC1	2	30
GTDC2	3	27
GTF2A1	14	3
GTF2A1L	2	19
GTF2B	1	4
GTF2E1	3	12
GTF2E2	8	7
GTF2F1	19	12
GTF2F2	13	5
GTF2H1	11	8
GTF2H3	12	6
GTF2H4	6	5
GTF2H5	6	2
GTF2I	7	2
GTF2IRD1	7	13
GTF2IRD2B	7	1
GTF3A	13	13
GTF3C1	16	40
GTF3C2	2	8
GTF3C3	2	9
GTF3C4	9	10
GTF3C5	9	15
GTF3C6	6	6
GTPBP1	22	2
GTPBP10	7	14
GTPBP2	6	3
GTPBP3	19	14
GTPBP4	10	25
GTPBP5	20	20
GTPBP6	X	1
GTPBP8	3	7
GTSE1	22	36
GTSF1	12	5
GTSF1L	20	10
GUCA1A	6	9
GUCA1B	6	8
GUCA1C	3	9
GUCA2A	1	9
GUCA2B	1	1
GUCY1A2	11	3
GUCY1A3	4	12
GUCY1B2	13	2
GUCY1B3	4	4
GUCY2C	12	32
GUCY2D	17	23
GUCY2F	X	34
GUF1	4	26
GUK1	1	5
GULP1	2	4
GUSB	7	9
GXYLT1	12	9
GXYLT2	3	13
GYG1	3	11
GYG2	X	19
GYLTL1B	11	26
GYPA	4	5
GYPB	4	7
GYPC	2	11
GYPE	4	1
GYS1	19	8
GYS2	12	29
GZF1	20	15
GZMA	5	16
GZMB	14	11
GZMH	14	10
GZMK	5	11
GZMM	19	15
H1FNT	12	7
H1FOO	3	5
H1FX	3	2
H2AFJ	12	2
H2AFY	5	3
H2AFY2	10	5
H2BFM	X	3
H2BFWT	X	8
H3F3C	12	3
H6PD	1	53
HAAO	2	12
HABP2	10	31
HABP4	9	3
HACE1	6	7
HACL1	3	20
HADH	4	12
HADHA	2	21
HADHB	2	17
HAGH	16	11
HAGHL	16	4
HAL	12	35
HAMP	19	3
HAND1	5	4
HAO1	20	14
HAO2	1	20
HAP1	17	33
HAPLN1	5	11
HAPLN2	1	2
HAPLN3	15	17
HAPLN4	19	6
HARBI1	11	8
HARS	5	17
HARS2	5	16
HAS1	19	18
HAS2	8	5
HAS3	16	10
HAT1	2	7
HAUS1	18	11
HAUS2	15	5
HAUS3	4	17
HAUS4	14	9
HAUS5	19	26
HAUS6	9	23
HAUS7	X	7
HAUS8	19	19
HAVCR1	5	25
HAVCR2	5	16
